N,M,Equity Final [$]
1.0,1.0,9204.43612
1.0,1.5,10674.65985
1.0,2.0,10674.65985
1.0,2.5,10674.65985
1.0,3.0,10674.65985
1.0,3.5,10674.65985
1.0,4.0,10674.65985
1.0,4.5,10674.65985
1.5,1.0,9239.671860000008
1.5,1.5,10633.514500000001
1.5,2.0,10633.514500000001
1.5,2.5,10633.514500000001
1.5,3.0,10633.514500000001
1.5,3.5,10633.514500000001
1.5,4.0,10633.514500000001
1.5,4.5,10633.514500000001
2.0,1.0,9484.806040000003
2.0,1.5,10633.514500000001
2.0,2.0,10633.514500000001
2.0,2.5,10633.514500000001
2.0,3.0,10633.514500000001
2.0,3.5,10633.514500000001
2.0,4.0,10633.514500000001
2.0,4.5,10633.514500000001
2.5,1.0,9407.590160000007
2.5,1.5,10620.18253
2.5,2.0,10620.18253
2.5,2.5,10620.18253
2.5,3.0,10620.18253
2.5,3.5,10620.18253
2.5,4.0,10620.18253
2.5,4.5,10620.18253
3.0,1.0,9577.663079999998
3.0,1.5,10620.18253
3.0,2.0,10620.18253
3.0,2.5,10620.18253
3.0,3.0,10620.18253
3.0,3.5,10620.18253
3.0,4.0,10620.18253
3.0,4.5,10620.18253
3.5,1.0,9728.04668
3.5,1.5,10620.18253
3.5,2.0,10620.18253
3.5,2.5,10620.18253
3.5,3.0,10620.18253
3.5,3.5,10620.18253
3.5,4.0,10620.18253
3.5,4.5,10620.18253
4.0,1.0,11480.672359999999
4.0,1.5,10620.18253
4.0,2.0,10620.18253
4.0,2.5,10620.18253
4.0,3.0,10620.18253
4.0,3.5,10620.18253
4.0,4.0,10620.18253
4.0,4.5,10620.18253
4.5,1.0,11480.672359999999
4.5,1.5,10620.18253
4.5,2.0,10620.18253
4.5,2.5,10620.18253
4.5,3.0,10620.18253
4.5,3.5,10620.18253
4.5,4.0,10620.18253
4.5,4.5,10620.18253
